id,publication_date,title,slug,place_id,description,site_url,favorites_count,comments_count,rating
51435,2024-09-18,Радости смерти: рецензия на фильм «Битлджус Битлджус»,retsenziya-na-film-bitldzhus-bitldzhus,null,<p>Спустя 35 лет после премьеры оригинального «Битлджуса» мрачный сказочник Тим Бёртон возвращается к своему фирменному стилю и ранним работам. Как итог — сиквел странноватой и скомканной истории про трикстера из загробного мира. Впрочем, не менее впечатляющий, чем первая часть. О триумфальном возвращении Бёртона и фильме-открытии Венецианского кинофестиваля читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-bitldzhus-bitldzhus/,0,0,0.5
51433,2024-09-18,В Казахстане нашли кота, потерявшегося в аэропорту месяц назад,v-kazahstane-nashli-kota,null,<p>Он здоров, но сильно похудел.</p>,https://kudago.com/all/news/v-kazahstane-nashli-kota/,0,0,0.5
51431,2024-09-18,Опубликован трейлер фильма «Мелочи жизни» с Киллианом Мёрфи,trejler-filma-melochi-zhizni,null,<p>В России картина выйдет весной.</p>,https://kudago.com/all/news/trejler-filma-melochi-zhizni/,0,0,0.5
51430,2024-09-18,Индекс счастья россиян упал до минимальных показателей с 2014 года,indeks-schastya-upal-do,null,<p>Уровень медленно снижался в течение лета.</p>,https://kudago.com/all/news/indeks-schastya-upal-do/,0,0,0.5
51429,2024-09-18,Появился первый трейлер комедии «Братья» с Питером Динклейджем и Джошем Бролином,trejler-komedii-bratya,null,<p>Её выход намечен на начало октября.</p>,https://kudago.com/all/news/trejler-komedii-bratya/,0,0,0.5
51428,2024-09-18,Вышел трейлер фантастического фильма «Микки 17» с Робертом Паттинсоном,trejler-mikki-17-s-robertom-pattinsonom,null,<p>Премьера состоится в начале следующего года.</p>,https://kudago.com/all/news/trejler-mikki-17-s-robertom-pattinsonom/,0,0,0.5
51427,2024-09-18,Звезда «Гарри Поттера» сыграет злодейку в «Бриджертонах»,zvezda-garri-pottera-syigraet,null,<p>Съёмки нового сезона уже начались.</p>,https://kudago.com/all/news/zvezda-garri-pottera-syigraet/,0,0,0.5
51425,2024-09-18,В Ленобласти ждут первые заморозки,v-lenoblasti-zhdut-pervyie,null,<p>Их прогнозируют в выходные.</p>,https://kudago.com/spb/news/v-lenoblasti-zhdut-pervyie/,0,0,0.5
51422,2024-09-18,В посёлке Репино благоустроили парк и пляж,v-repino-blagoustroili-park-i,null,<p>«Дюны» теперь украшает фигура тюленя.</p>,https://kudago.com/spb/news/v-repino-blagoustroili-park-i/,0,0,0.5
51419,2024-09-17,Правила игры: рецензия на фильм «Виды доброты» Йоргоса Лантимоса,retsenziya-na-film-vidyi-dobrotyi,null,<p>Сейчас на больших экранах и в сети можно увидеть фильм Йоргоса Лантимоса «Виды доброты», который принёс Джесси Племонсу награду за лучшую мужскую роль на Каннском фестивале. Чем хорош новый фильм популярного режиссёра и почему он совсем не похож на «Бедных-несчастных», читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-vidyi-dobrotyi/,0,0,0.5
